ID,tree.id,PLOT,plot.elev.m,plot.deficit,plot.aet,DBH,BAF10,BAF20,BAF20_CALC,TFW,XFW,XDW,TPCTWAT,PHLFW,PHLDW,VFW,RWC_Aug,Density,dPHLMASS,RWC_June,dRWC,sd.rwi.20yr,sd.rwi.all,Kh_Jun,Kh_Aug,dKh,dKh.dt,SOLSUGS,STARCH,TNSC
4038,4038,ULC1,431,564,501.9,27.2,NA,7,7,0.46506,0.39598,0.23649,0.41,0.06908,0.03697,0.401,0.65,0.9,-0.46,0.486,-0.16,0.333207968,0.329656423,0.051,0.212607215,0.161,0.132,22.0992912,5.059289029,27.15858023
1166,1166,ZA09.unburned,1811,422.7,520.5,28.6,NA,NA,NA,0.62412,0.51833,0.27029,0.49,0.10579,0.05015,0.53,0.7,0.78,-0.53,0.71,0.01,0.23668452,0.296731795,0.37,0.344931059,-0.025,0.358,18.8746656,10.11376548,28.98843108
1328,1328,ZA24.thin,1348,473.3,612.5,31.3,NA,3,3,0.60158,0.5388,0.31599,0.42,0.06278,0.0324,0.563,0.63,0.86,-0.48,0.72,0.09,0.170856921,0.156218866,0.404,0.174824229,-0.23,0.29,16.4098326,4.1412402,20.5510728
1335,1335,ZA24.thin,1348,473.3,612.5,36.5,NA,6,6,0.64532,0.54928,0.32589,0.42,0.09604,0.04789,0.523,0.72,0.95,-0.5,0.72,0,0.2443635,0.268740249,0.404,0.406608286,0.002,0.406,17.6807232,5.562377805,23.24310101
4015,4015,HEN1,375,570.5,486.8,33,NA,4,4,0.75621,0.65558,0.33581,0.5,0.10063,0.04485,0.622,0.79,0.83,-0.55,0.775,-0.02,0.44498706,0.354881525,0.657,0.780384768,0.123,0.719,28.407456,2.398997329,30.80645333
4040,4040,ULC1,431,564,501.9,28.4,NA,8,8,0.48539,0.41507,0.22304,0.46,0.07032,0.03693,0.417,0.71,0.82,-0.47,0.78,0.07,0.218429808,0.25253208,0.687,0.363799838,-0.323,0.525,12.380088,2.824370049,15.20445805
1167,1167,ZA09.unburned,1811,422.7,520.5,47.7,NA,NA,NA,0.46495,0.36612,0.18774,0.5,0.09883,0.0457,0.377,0.7,0.76,-0.54,0.787,0.09,0.181422849,0.184303609,0.729,0.343363223,-0.386,0.536,24.4006224,8.971926081,33.37254848
1325,1325,ZA24.thin,1348,473.3,612.5,65.3,NA,5,5,0.5189,0.39771,0.23573,0.43,0.12119,0.0587,0.361,0.78,1,-0.52,0.82,0.04,0.236829986,0.197756214,0.978,0.704121707,-0.274,0.841,30.5423664,5.33288499,35.87525139
4026,4026,HEN1,375,570.5,486.8,36,NA,4,4,0.34281,0.26871,0.14982,0.46,0.0741,0.03551,0.273,0.68,0.84,-0.52,0.82,0.14,0.353998193,0.301769939,0.978,0.28171994,-0.696,0.63,16.0409592,5.216515792,21.25747499
1171,1171,A1,1598,397,463.3,33.9,NA,NA,NA,0.31658,0.25,0.1615,0.38,0.06658,0.03324,0.273,0.53,0.91,-0.5,0.828,0.3,0.291089574,0.329375173,1.049,0.074543725,-0.975,0.562,21.4942896,4.164467083,25.65875668
1328d,1328D,ZA24.dense,1348,473.3,612.5,31,NA,NA,NA,0.54912,0.45849,0.24836,0.47,0.09063,0.04131,0.483,0.66,0.79,-0.54,0.829,0.17,0.185349059,0.187521363,1.06,0.228332584,-0.831,0.644,27.2874042,4.715749566,32.00315377
1163,1163,A1,1598,397,463.3,44,NA,NA,NA,0.51587,0.45897,0.29448,0.37,0.0569,0.02826,0.506,0.52,0.89,-0.5,0.83,0.31,0.139297764,0.278058061,1.068,0.072023756,-0.996,0.57,22.00716,5.934550803,27.9417108
4024,4024,HEN1,375,570.5,486.8,31.1,NA,2,2,0.38882,0.33431,0.20347,0.4,0.05451,0.02802,0.35,0.6,0.89,-0.49,0.83,0.23,0.238319958,0.230189495,1.068,0.143784101,-0.925,0.606,21.4812864,4.634857094,26.11614349
1164,1164,A1,1598,397,463.3,37.1,NA,NA,NA,0.4421,0.36894,0.2229,0.43,0.07316,0.02995,0.356,0.69,0.96,-0.59,0.831,0.14,0.287139543,0.360351305,1.076,0.322549807,-0.754,0.699,19.2616242,4.051773163,23.31339736
1169,1169,ZA09.unburned,1811,422.7,520.5,54.3,NA,NA,NA,0.53845,0.47812,0.25461,0.47,0.06033,0.02824,0.445,0.8,0.88,-0.53,0.847,0.05,0.221450874,0.251265588,1.246,0.836541697,-0.409,1.041,40.9668588,8.889744258,49.85660306
1329d,1329D,ZA24.dense,1348,473.3,612.5,29,NA,NA,NA,0.66076,0.61035,0.36479,0.41,0.05041,0.02355,0.625,0.64,0.89,-0.53,0.853,0.22,0.179645694,0.210250345,1.307,0.191262213,-1.116,0.749,16.1658168,4.363650843,20.52946764
4222,4222,ULC1,431,564,501.9,27,NA,6,6,0.65148,0.56448,0.27593,0.51,0.087,0.04248,0.604,0.68,0.7,-0.51,0.864,0.18,0.468453443,0.334512857,1.44,0.286821108,-1.153,0.863,42.9012486,6.39076362,49.29201222
1335d,1335D,ZA24.dense,1348,473.3,612.5,30,NA,NA,NA,0.70361,0.61199,0.34021,0.45,0.09162,0.04393,0.625,0.67,0.83,-0.52,0.866,0.19,0.199816081,0.20599852,1.475,0.271765875,-1.203,0.873,19.9904124,5.720304667,25.71071707
1329,1329,ZA24.thin,1348,473.3,612.5,36.2,NA,6,6,0.65255,0.5828,0.3007,0.49,0.06975,0.03124,0.553,0.79,0.83,-0.55,0.87,0.08,0.19600122,0.180263565,1.521,0.759688881,-0.762,1.14,17.6807232,5.562377805,23.24310101
1168,1168,ZA09.unburned,1811,422.7,520.5,58.8,NA,NA,NA,0.60675,0.49699,0.23583,0.53,0.10976,0.05132,0.462,0.85,0.78,-0.53,0.884,0.04,0.264877507,0.212013802,1.715,1.255885829,-0.46,1.486,33.26001,8.992071913,42.25208191
1325d,1325D,ZA24.dense,1348,473.3,612.5,30,NA,NA,NA,0.54333,0.47381,0.22877,0.51,0.06952,0.03645,0.447,0.82,0.78,-0.48,0.888,0.06,0.280407512,0.264877083,1.785,1.010869471,-0.774,1.398,21.74025,4.484103687,26.22435369
4027,4027,HEN1,375,570.5,486.8,34.4,NA,5,5,0.74125,0.63809,0.3085,0.52,0.10316,0.04692,0.595,0.84,0.79,-0.55,0.889,0.05,0.38808911,0.335461187,1.803,1.145373521,-0.658,1.474,18.8566056,3.731020695,22.58762629
1371,1371,A1,1598,397,463.3,72.5,NA,7,7,0.54968,0.47231,0.244,0.49,0.07737,0.03566,0.441,0.81,0.85,-0.54,0.89,0.08,0.325444408,0.253006057,1.815,0.903250255,-0.912,1.359,35.8703604,6.745654137,42.61601454
1376,1376,A1,1598,397,463.3,53.2,NA,10,10,0.81471,0.66617,0.3353,0.5,0.14854,0.07135,0.605,0.86,0.85,-0.52,0.89,0.03,0.150735717,0.302444923,1.815,1.362314263,-0.453,1.589,42.2370144,5.098606239,47.33562064
4023,4023,HEN1,375,570.5,486.8,28.6,NA,7,7,0.70939,0.63073,0.3131,0.51,0.07866,0.03626,0.59,0.82,0.81,-0.54,0.913,0.09,0.244003789,0.220688593,2.226,1.015488503,-1.21,1.621,22.4579628,4.427315783,26.88527858
4221,4221,ULC1,431,564,501.9,42.2,NA,5,5,0.61268,0.5204,0.23155,0.55,0.09228,0.04127,0.527,0.77,0.67,-0.55,0.93,0.16,0.166001167,0.187620667,2.584,0.62293523,-1.961,1.604,37.4789856,3.661851842,41.14083744
1165,1165,ZA09.unburned,1811,422.7,520.5,36.5,NA,NA,NA,0.61604,0.58825,0.28752,0.52,0.02779,0.00975,0.567,0.79,0.78,-0.65,0.96,0.17,0.267388052,0.220448682,3.368,0.772780424,-2.595,2.071,27.4423212,4.347213394,31.78953459
1372,1372,A1,1598,397,463.3,56.2,NA,4,4,0.86953,0.77609,0.34948,0.55,0.09344,0.04154,0.712,0.88,0.75,-0.56,0.965,0.08,0.294103535,0.31553841,3.512,1.69408525,-1.818,2.603,34.8894,5.143676127,40.03307613
1170,1170,A1,1598,397,463.3,38.9,11,NA,5.5,0.80063,0.712,0.39389,0.46,0.08863,0.04164,0.663,0.78,0.91,-0.53,NA,NA,0.222481572,0.327862164,NA,0.714122784,NA,NA,NA,NA,NA
1172,1172,ZA24.thin,1348,473.3,612.5,40.2,NA,5,5,0.53571,0.44226,0.26227,0.43,0.09345,0.04559,0.417,0.73,0.96,-0.51,NA,NA,0.262642364,0.203070343,NA,0.453268762,NA,NA,NA,NA,NA
1173,1173,ZA24.thin,1348,473.3,612.5,32.6,NA,9,9,0.41393,0.3213,0.19478,0.42,0.09263,0.04627,0.314,0.68,0.95,-0.5,NA,NA,0.179636791,0.176362839,NA,0.278316225,NA,NA,NA,NA,NA
1174,1174,ZA24.thin,1348,473.3,612.5,37.4,NA,12,12,0.37331,0.322,0.17923,0.46,0.05131,0.02081,0.351,0.61,0.78,-0.59,NA,NA,0.244046067,0.226104,NA,0.153753662,NA,NA,NA,NA,NA
1175,1175,ZA24.thin,1348,473.3,612.5,42.5,NA,11,11,0.62994,0.53772,0.32137,0.42,0.09222,0.04362,0.518,0.7,0.95,-0.53,NA,NA,0.25152283,0.201355119,NA,0.346618065,NA,NA,NA,NA,NA
1180,1180,ZA09.unburned,1811,422.7,520.5,50.2,6,NA,3,0.64296,0.56221,0.30851,0.46,0.08075,0.03722,0.548,0.73,0.86,-0.54,NA,NA,0.332095176,0.31807642,NA,0.45152296,NA,NA,NA,NA,NA
1182,1182,A1,1598,397,463.3,29,NA,9,9,0.67311,0.58805,0.30323,0.5,0.08506,0.03283,0.555,0.8,0.84,-0.61,NA,NA,0.386128516,0.365494167,NA,0.807102895,NA,NA,NA,NA,NA
1183,1183,A1,1598,397,463.3,44.1,NA,8,8,0.69298,0.58502,0.33869,0.44,0.10796,0.05235,0.526,0.81,0.99,-0.52,NA,NA,0.173219794,0.330731373,NA,0.884521553,NA,NA,NA,NA,NA
4002,4002,LLC,375,570.5,486.8,51,NA,NA,5,0.71929,0.61237,0.30458,0.5,0.10692,0.0561,0.587,0.79,0.79,-0.48,NA,NA,0.150329776,0.186669112,NA,0.773473751,NA,NA,NA,NA,NA
4018,4018,HEN1,375,570.5,486.8,27.1,NA,NA,11,0.70724,0.6344,0.3168,0.5,0.07284,0.03537,0.609,0.79,0.8,-0.51,NA,NA,0.099558324,0.08483353,NA,0.751555197,NA,NA,NA,NA,NA
4019,4019,HEN1,375,570.5,486.8,70,NA,NA,NA,0.53263,0.422,0.20318,0.51,0.11063,0.05645,0.389,0.85,0.8,-0.49,NA,NA,0.284738862,0.271550048,NA,1.321774209,NA,NA,NA,NA,NA
4020,4020,HEN1,375,570.5,486.8,76.5,NA,NA,4,0.65709,0.50842,0.19771,0.59,0.14867,0.07459,0.478,0.89,0.63,-0.5,NA,NA,0.230060041,0.357265087,NA,1.828835461,NA,NA,NA,NA,NA
4021,4021,HEN1,375,570.5,486.8,59,NA,NA,4,0.71889,0.59836,0.2921,0.51,0.12053,0.06328,0.551,0.85,0.81,-0.47,NA,NA,0.287026162,0.298584869,NA,1.280768844,NA,NA,NA,NA,NA
4022,4022,HEN1,375,570.5,486.8,27.8,NA,NA,6,0.5907,0.50733,0.27792,0.47,0.08337,0.03784,0.524,0.67,0.81,-0.55,NA,NA,0.295698573,0.2688806,NA,0.260264144,NA,NA,NA,NA,NA
8000,8000,HEN1,375,570.5,486.8,76.9,NA,5,5,0.5646,0.47655,0.23474,0.51,0.08805,0.04408,0.426,0.89,0.84,-0.5,NA,NA,0.366781602,0.301318612,NA,1.769688352,NA,NA,NA,NA,NA
8001,8001,HEN1,375,570.5,486.8,60,NA,3,3,0.62444,0.5314,0.25555,0.52,0.09304,0.04507,0.512,0.8,0.76,-0.52,NA,NA,0.430054561,0.364154428,NA,0.817049919,NA,NA,NA,NA,NA
8003,8003,LLC,375,570.5,486.8,52,7,NA,3.5,0.6409,0.5172,0.27365,0.47,0.1237,0.06562,0.535,0.68,0.78,-0.47,NA,NA,0.235219684,0.228348067,NA,0.293883415,NA,NA,NA,NA,NA
8004,8004,LLC,375,570.5,486.8,39.1,8,NA,4,0.55746,0.48262,0.24401,0.5,0.07484,0.03645,0.502,0.7,0.74,-0.51,NA,NA,0.198296408,0.191202618,NA,0.329015271,NA,NA,NA,NA,NA
8005,8005,LLC,375,570.5,486.8,42.2,10,NA,5,0.73227,0.60383,0.27498,0.54,0.12844,0.06493,0.549,0.89,0.77,-0.49,NA,NA,0.233863938,0.237605027,NA,1.823611893,NA,NA,NA,NA,NA
8006,8006,LLC,375,570.5,486.8,42.9,11,NA,5.5,0.60963,0.51714,0.27224,0.47,0.09249,0.04921,0.52,0.72,NA,-0.47,NA,NA,0.200681841,0.238844807,NA,0.390185907,NA,NA,NA,NA,NA
8007,8007,LLC,375,570.5,486.8,42.2,7,NA,3.5,0.82765,0.71,0.35732,0.49,0.11765,0.06354,0.729,0.71,0.75,-0.46,NA,NA,0.205910718,0.223462572,NA,0.376249179,NA,NA,NA,NA,NA
8008,8008,LLC,375,570.5,486.8,34.8,9,NA,4.5,0.60426,0.55046,0.34312,0.36,0.0538,0.04541,0.537,0.66,0.98,-0.16,NA,NA,0.239477368,0.199241868,NA,0.244410044,NA,NA,NA,NA,NA
8009,8009,ULC1,431,564,501.9,35.2,NA,7,7,0.58929,0.52999,0.2786,0.48,0.0593,0.02646,0.535,0.71,0.8,-0.55,NA,NA,0.202690675,0.283121861,NA,0.377950103,NA,NA,NA,NA,NA
8010,8010,ULC1,431,564,501.9,37.7,6,NA,3,0.69683,0.59425,0.29887,0.5,0.10258,0.05074,0.602,0.73,0.76,-0.51,NA,NA,0.214350153,0.243901416,NA,0.427764718,NA,NA,NA,NA,NA
8011,8011,ULC1,431,564,501.9,45.1,NA,8,8,0.58491,0.53215,0.30696,0.42,0.05276,0.03126,0.559,0.63,0.84,-0.41,NA,NA,0.237703062,0.264904712,NA,0.180032604,NA,NA,NA,NA,NA
8012,8012,ULC1,431,564,501.9,55.8,NA,6,6,0.92145,0.76664,0.39406,0.49,0.15481,0.07785,0.697,0.85,0.87,-0.5,NA,NA,0.278566549,0.266132184,NA,1.250828367,NA,NA,NA,NA,NA
8013,8013,ULC1,431,564,501.9,52.1,NA,8,8,0.90447,0.76612,0.41603,0.46,0.13835,0.06915,0.754,0.73,0.84,-0.5,NA,NA,0.183900124,0.214156505,NA,0.427175179,NA,NA,NA,NA,NA
8014,8014,ULC1,431,564,501.9,53.8,NA,7,7,0.81323,0.71631,0.33636,0.53,0.09692,0.0477,0.668,0.85,0.77,-0.51,NA,NA,0.257585935,0.240259989,NA,1.250415166,NA,NA,NA,NA,NA
1176d,1176D,ZA24.dense,1348,473.3,612.5,41.2,NA,7,7,0.47989,0.40294,0.20116,0.5,0.07695,0.03875,0.4,0.75,0.77,-0.5,NA,NA,0.150744729,0.150046713,NA,0.533872352,NA,NA,NA,NA,NA
1177d,1177D,ZA24.dense,1348,473.3,612.5,31,NA,14,14,0.4692,0.38914,0.1928,0.52,0.08006,0.03459,0.394,0.73,0.75,-0.57,NA,NA,0.161311455,0.153078107,NA,0.452208155,NA,NA,NA,NA,NA
1178d,1178D,ZA24.dense,1348,473.3,612.5,43.2,NA,11,11,0.70256,0.57142,0.34101,0.41,0.13114,0.07001,0.526,0.76,0.99,-0.47,NA,NA,0.214432909,0.185296466,NA,0.576458699,NA,NA,NA,NA,NA
1179d,1179D,ZA24.dense,1348,473.3,612.5,26.2,NA,9,9,0.6082,0.5496,0.309,0.44,0.0586,0.03036,0.582,0.63,0.81,-0.48,NA,NA,0.28979902,0.226958077,NA,0.187703175,NA,NA,NA,NA,NA
